file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,2beec35e,John Wesley Delos Reyes Pabalate,2025-04-18,22:40:17,-07:00,2025-04-18T22:40:17-07:00,0,5
style.css,2,css,12c4691b,John Wesley Delos Reyes Pabalate,2025-04-25,20:44:44,-07:00,2025-04-25T20:44:44-07:00,1,33
style.css,3,css,2beec35e,John Wesley Delos Reyes Pabalate,2025-04-18,22:40:17,-07:00,2025-04-18T22:40:17-07:00,1,39
style.css,4,css,2beec35e,John Wesley Delos Reyes Pabalate,2025-04-18,22:40:17,-07:00,2025-04-18T22:40:17-07:00,0,0
style.css,5,css,2beec35e,John Wesley Delos Reyes Pabalate,2025-04-18,22:40:17,-07:00,2025-04-18T22:40:17-07:00,0,0
style.css,6,css,2beec35e,John Wesley Delos Reyes Pabalate,2025-04-18,22:40:17,-07:00,2025-04-18T22:40:17-07:00,0,25
style.css,7,css,2beec35e,John Wesley Delos Reyes Pabalate,2025-04-18,22:40:17,-07:00,2025-04-18T22:40:17-07:00,1,18
style.css,8,css,2beec35e,John Wesley Delos Reyes Pabalate,2025-04-18,22:40:17,-07:00,2025-04-18T22:40:17-07:00,0,0
style.css,9,css,2beec35e,John Wesley Delos Reyes Pabalate,2025-04-18,22:40:17,-07:00,2025-04-18T22:40:17-07:00,0,0
style.css,10,css,2beec35e,John Wesley Delos Reyes Pabalate,2025-04-18,22:40:17,-07:00,2025-04-18T22:40:17-07:00,0,24
style.css,11,css,2beec35e,John Wesley Delos Reyes Pabalate,2025-04-18,22:40:17,-07:00,2025-04-18T22:40:17-07:00,1,17
style.css,12,css,2beec35e,John Wesley Delos Reyes Pabalate,2025-04-18,22:40:17,-07:00,2025-04-18T22:40:17-07:00,0,0
style.css,13,css,2beec35e,John Wesley Delos Reyes Pabalate,2025-04-18,22:40:17,-07:00,2025-04-18T22:40:17-07:00,0,0
style.css,14,css,c0a25a0c,John Wesley Delos Reyes Pabalate,2025-04-04,23:31:20,-07:00,2025-04-04T23:31:20-07:00,0,4
style.css,15,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,15
style.css,16,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,18
style.css,17,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,19
style.css,18,css,2beec35e,John Wesley Delos Reyes Pabalate,2025-04-18,22:40:17,-07:00,2025-04-18T22:40:17-07:00,1,24
style.css,19,css,2beec35e,John Wesley Delos Reyes Pabalate,2025-04-18,22:40:17,-07:00,2025-04-18T22:40:17-07:00,1,11
style.css,20,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,0,0
style.css,21,css,c0a25a0c,John Wesley Delos Reyes Pabalate,2025-04-04,23:31:20,-07:00,2025-04-04T23:31:20-07:00,0,0
style.css,22,css,c0a25a0c,John Wesley Delos Reyes Pabalate,2025-04-04,23:31:20,-07:00,2025-04-04T23:31:20-07:00,0,3
style.css,23,css,2beec35e,John Wesley Delos Reyes Pabalate,2025-04-18,22:40:17,-07:00,2025-04-18T22:40:17-07:00,1,15
style.css,24,css,2beec35e,John Wesley Delos Reyes Pabalate,2025-04-18,22:40:17,-07:00,2025-04-18T22:40:17-07:00,1,11
style.css,25,css,2beec35e,John Wesley Delos Reyes Pabalate,2025-04-18,22:40:17,-07:00,2025-04-18T22:40:17-07:00,1,13
style.css,26,css,2beec35e,John Wesley Delos Reyes Pabalate,2025-04-18,22:40:17,-07:00,2025-04-18T22:40:17-07:00,1,15
style.css,27,css,c0a25a0c,John Wesley Delos Reyes Pabalate,2025-04-04,23:31:20,-07:00,2025-04-04T23:31:20-07:00,0,0
style.css,28,css,2beec35e,John Wesley Delos Reyes Pabalate,2025-04-18,22:40:17,-07:00,2025-04-18T22:40:17-07:00,0,0
style.css,29,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,0,3
style.css,30,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,12
style.css,31,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,17
style.css,32,css,2beec35e,John Wesley Delos Reyes Pabalate,2025-04-18,22:40:17,-07:00,2025-04-18T22:40:17-07:00,1,43
style.css,33,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,0,0
style.css,34,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,0,0
style.css,35,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,0,5
style.css,36,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,6
style.css,37,css,2beec35e,John Wesley Delos Reyes Pabalate,2025-04-18,22:40:17,-07:00,2025-04-18T22:40:17-07:00,1,20
style.css,38,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,13
style.css,39,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,17
style.css,40,css,2beec35e,John Wesley Delos Reyes Pabalate,2025-04-18,22:40:17,-07:00,2025-04-18T22:40:17-07:00,1,14
style.css,41,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,35
style.css,42,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,58
style.css,43,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,0,0
style.css,44,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,0,0
style.css,45,css,2beec35e,John Wesley Delos Reyes Pabalate,2025-04-18,22:40:17,-07:00,2025-04-18T22:40:17-07:00,0,11
style.css,46,css,2beec35e,John Wesley Delos Reyes Pabalate,2025-04-18,22:40:17,-07:00,2025-04-18T22:40:17-07:00,1,39
style.css,47,css,2beec35e,John Wesley Delos Reyes Pabalate,2025-04-18,22:40:17,-07:00,2025-04-18T22:40:17-07:00,1,69
style.css,48,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,0,0
style.css,49,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,0,0
style.css,50,css,2beec35e,John Wesley Delos Reyes Pabalate,2025-04-18,22:40:17,-07:00,2025-04-18T22:40:17-07:00,0,13
style.css,51,css,2beec35e,John Wesley Delos Reyes Pabalate,2025-04-18,22:40:17,-07:00,2025-04-18T22:40:17-07:00,1,16
style.css,52,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,39
style.css,53,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,0,0
style.css,54,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,0,0
style.css,55,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,0,4
style.css,56,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,12
style.css,57,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,9
style.css,58,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,15
style.css,59,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,16
style.css,60,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,12
style.css,61,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,12
style.css,62,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,0,0
style.css,63,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,0,0
style.css,64,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,0,9
style.css,65,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,12
style.css,66,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,31
style.css,67,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,18
style.css,68,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,7
style.css,69,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,0,0
style.css,70,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,0,0
style.css,71,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,0,5
style.css,72,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,16
style.css,73,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,0,0
style.css,74,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,0,0
style.css,75,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,0,4
style.css,76,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,0,8
style.css,77,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,10
style.css,78,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,21
style.css,79,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,14
style.css,80,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,21
style.css,81,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,17
style.css,82,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,12
style.css,83,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,0,0
style.css,84,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,0,0
style.css,85,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,0,8
style.css,86,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,15
style.css,87,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,0,0
style.css,88,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,0,0
style.css,89,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,0,6
style.css,90,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,18
style.css,91,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,10
style.css,92,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,15
style.css,93,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,36
style.css,94,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,11
style.css,95,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,14
style.css,96,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,11
style.css,97,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,17
style.css,98,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,14
style.css,99,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,32
style.css,100,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,0,0
style.css,101,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,0,0
style.css,102,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,0,12
style.css,103,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,58
style.css,104,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,0,0
style.css,105,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,0,0
style.css,106,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,0,17
style.css,107,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,12
style.css,108,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,26
style.css,109,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,15
style.css,110,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,18
style.css,111,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,12
style.css,112,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,21
style.css,113,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,17
style.css,114,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,40
style.css,115,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,25
style.css,116,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,0,0
style.css,117,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,0,0
style.css,118,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,0,22
style.css,119,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,15
style.css,120,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,17
style.css,121,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,25
style.css,122,css,2beec35e,John Wesley Delos Reyes Pabalate,2025-04-18,22:40:17,-07:00,2025-04-18T22:40:17-07:00,1,17
style.css,123,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,0,0
style.css,124,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,0,0
style.css,125,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,0,2
style.css,126,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,14
style.css,127,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,0,0
style.css,128,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,0,0
style.css,129,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,0,2
style.css,130,css,2beec35e,John Wesley Delos Reyes Pabalate,2025-04-18,22:40:17,-07:00,2025-04-18T22:40:17-07:00,1,14
style.css,131,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,0,0
style.css,132,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,0,0
style.css,133,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,0,14
style.css,134,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,17
style.css,135,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,15
style.css,136,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,20
style.css,137,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,0,0
style.css,138,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,0,0
style.css,139,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,0,17
style.css,140,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,16
style.css,141,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,16
style.css,142,css,2beec35e,John Wesley Delos Reyes Pabalate,2025-04-18,22:40:17,-07:00,2025-04-18T22:40:17-07:00,1,17
style.css,143,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,0,0
style.css,144,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,0,0
style.css,145,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,0,16
style.css,146,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,16
style.css,147,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,10
style.css,148,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,14
style.css,149,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,1,18
style.css,150,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,0,0
style.css,151,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,0,0
style.css,152,css,2beec35e,John Wesley Delos Reyes Pabalate,2025-04-18,22:40:17,-07:00,2025-04-18T22:40:17-07:00,0,30
style.css,153,css,2beec35e,John Wesley Delos Reyes Pabalate,2025-04-18,22:40:17,-07:00,2025-04-18T22:40:17-07:00,1,22
style.css,154,css,2beec35e,John Wesley Delos Reyes Pabalate,2025-04-18,22:40:17,-07:00,2025-04-18T22:40:17-07:00,1,11
style.css,155,css,2beec35e,John Wesley Delos Reyes Pabalate,2025-04-18,22:40:17,-07:00,2025-04-18T22:40:17-07:00,0,0
style.css,156,css,0ed5110a,John Wesley Delos Reyes Pabalate,2025-04-11,23:19:50,-07:00,2025-04-11T23:19:50-07:00,0,0
style.css,157,css,2beec35e,John Wesley Delos Reyes Pabalate,2025-04-18,22:40:17,-07:00,2025-04-18T22:40:17-07:00,0,29
style.css,158,css,2beec35e,John Wesley Delos Reyes Pabalate,2025-04-18,22:40:17,-07:00,2025-04-18T22:40:17-07:00,1,22
style.css,159,css,2beec35e,John Wesley Delos Reyes Pabalate,2025-04-18,22:40:17,-07:00,2025-04-18T22:40:17-07:00,1,39
style.css,160,css,2beec35e,John Wesley Delos Reyes Pabalate,2025-04-18,22:40:17,-07:00,2025-04-18T22:40:17-07:00,0,0
style.css,161,css,2beec35e,John Wesley Delos Reyes Pabalate,2025-04-18,22:40:17,-07:00,2025-04-18T22:40:17-07:00,0,0
style.css,162,css,2beec35e,John Wesley Delos Reyes Pabalate,2025-04-18,22:40:17,-07:00,2025-04-18T22:40:17-07:00,0,31
style.css,163,css,2beec35e,John Wesley Delos Reyes Pabalate,2025-04-18,22:40:17,-07:00,2025-04-18T22:40:17-07:00,1,11
style.css,164,css,2beec35e,John Wesley Delos Reyes Pabalate,2025-04-18,22:40:17,-07:00,2025-04-18T22:40:17-07:00,0,0
style.css,165,css,2beec35e,John Wesley Delos Reyes Pabalate,2025-04-18,22:40:17,-07:00,2025-04-18T22:40:17-07:00,0,0
style.css,166,css,2beec35e,John Wesley Delos Reyes Pabalate,2025-04-18,22:40:17,-07:00,2025-04-18T22:40:17-07:00,0,37
style.css,167,css,2beec35e,John Wesley Delos Reyes Pabalate,2025-04-18,22:40:17,-07:00,2025-04-18T22:40:17-07:00,1,68
style.css,168,css,2beec35e,John Wesley Delos Reyes Pabalate,2025-04-18,22:40:17,-07:00,2025-04-18T22:40:17-07:00,0,0
